id,date,sender,text,clearedmsg
93,2018-01-05 18:27:07+08:00,PeerUser(user_id=263081514),free food at north hill rep room to be cleared at 7,-2
94,2018-01-09 11:09:22+08:00,PeerUser(user_id=465844271),leftover pasta and swiss rolls at nanyang auditorium now,-2
95,2018-01-10 18:21:45+08:00,PeerUser(user_id=267988270),"cultural night event at north spine, food lasts till 9pm",-2
96,2018-01-11 13:30:24+08:00,NTUFreeFood,tr9 at ns level 5 ,-2
97,2018-01-13 16:57:33+08:00,PeerUser(user_id=472565934),"lots of food left. hass foyer, opposite the hive",-2
98,2018-01-13 17:27:24+08:00,NTUFreeFood,food will be cleared at 6 ,-2
99,2018-01-16 18:29:35+08:00,PeerUser(user_id=524789793),buffet food at sbs,-2
100,2018-01-16 20:05:52+08:00,NTUFreeFood,hi all lotsa food at hss    it'll be cleared by 8.30pm so hurry down :-),-2
102,2018-01-17 21:16:47+08:00,PeerUser(user_id=265005788),hi  free food at nh’s bb court ,-2
103,2018-01-18 12:58:43+08:00,NTUFreeFood,food at adm audi. level 2. dessert meat vegetables rice mee goreng ,-2
106,2018-01-19 16:31:04+08:00,NTUFreeFood,"hi guys, hive level 1  not much left but if you're nearby you can grab whatever's remaining",-2
108,2018-01-19 17:05:44+08:00,NTUFreeFood,hi all  hss auditorium b1,-2
109,2018-01-19 19:27:42+08:00,PeerUser(user_id=280195515),the hive lvl 3. to be cleared at 10pm,-2
110,2018-01-20 16:42:42+08:00,PeerUser(user_id=48628073),hi all  n3-3 outside tr +7 level 5. it'll be cleared by 5.30pm,-2
111,2018-01-20 19:29:54+08:00,PeerUser(user_id=36604648),food left at   nanyang audi foyer  do come and help yourself (:,-2
112,2018-01-20 19:33:05+08:00,NTUFreeFood,clearing soon  ,111
113,2018-01-22 14:07:24+08:00,PeerUser(user_id=351334898),adm b1,-2
114,2018-01-22 14:09:01+08:00,NTUFreeFood,clearing soon ,113
115,2018-01-23 15:39:53+08:00,PeerUser(user_id=178790592),free drinks at canopy k  they will open their booth until 5 pm  come here to get some of these goodies 💃🏼,-2
116,2018-01-23 17:00:30+08:00,NTUFreeFood,update: cleared   // hi all  do head over to nbs s3 b4 to clear some leftovers  clearing by 5.30pm,-2
